Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FANS,PLAYERS,MEDIA,SCORE
Blake Griffin,PF,31,DET,20,20,31.3,4.1,11.1,0.365,2,6.2,0.315,2.1,4.9,0.429,0.453,2.2,3.1,0.71,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3,71247,5,0,52
Rui Hachimura,PF,22,WAS,19,19,29.2,4.7,10.3,0.454,0.8,2.6,0.3,3.9,7.7,0.507,0.492,3.1,3.9,0.784,1.2,4.3,5.4,2,0.6,0.1,1,2.1,13.2,60077,8,0,51.2
Tyrese Haliburton,PG,20,SAC,25,2,29.4,4.8,9.6,0.498,2.3,5.2,0.443,2.4,4.3,0.565,0.619,0.6,0.7,0.824,1,2.6,3.6,5.2,1.2,0.6,1.6,1.2,12.4,11334,1,0,59.2
Tim Hardaway Jr.,SG,28,DAL,27,17,30.6,5.9,13.3,0.439,3.1,7.8,0.393,2.8,5.5,0.503,0.554,1.9,2.4,0.785,0.2,3,3.2,1.6,0.7,0.1,0.9,1.6,16.7,28076,4,0,49.5
James Harden,SG,31,TOT,24,24,37.6,7.6,15.8,0.482,3,7.9,0.384,4.6,7.9,0.579,0.578,6.2,6.9,0.897,0.8,6.5,7.3,11.3,1,0.8,4.3,2.3,24.5,2347594,58,39,3
Maurice Harkless,SF,27,MIA,10,3,10.9,0.4,1,0.4,0.4,0.8,0.5,0,0.2,0,0.6,0,0.2,0,0.1,0.8,0.9,0.7,0.2,0.3,0.2,1.2,1.2,1374,0,0,136.5
Montrezl Harrell,C,27,LAL,29,0,24.6,5.3,8.3,0.646,0,0.1,0,5.3,8.1,0.657,0.646,2.6,3.6,0.738,2.3,4,6.3,1.1,0.7,0.7,1.3,2.2,13.3,147724,3,0,54.2
Gary Harris,SG,26,DEN,19,19,30.6,3.6,8.2,0.442,1.3,3.9,0.32,2.4,4.3,0.556,0.519,1.2,1.6,0.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7,4405,0,0,102
Joe Harris,SF,29,BRK,30,26,30.9,5.5,10.5,0.529,3.3,6.6,0.495,2.3,3.9,0.586,0.685,0.5,0.8,0.696,0.6,2.9,3.5,1.9,0.5,0.2,0.8,2.4,14.9,25321,1,0,57.2
Tobias Harris,PF,28,PHI,26,26,34.5,8,15.4,0.518,1.8,4.2,0.426,6.2,11.2,0.551,0.575,3.1,3.5,0.9,1.3,6.5,7.7,3.1,0.8,0.8,2,2.1,20.8,297079,27,0,41.8
